method,coefficient,bias,variance,mse,time,rmse,random_variance,rel_efficiency,efficiency_gain_pct
Adaptive Hybrid,0,0.6532273559552216,2.400293336036848,2.8029963812447303,0.015945849418640138,1.6742151538093095,4.072430564394946,1.6966386996345133,69.66386996345133
Adaptive Hybrid,1,-0.07988715614026397,1.828785460871498,1.8168795639789623,0.015945849418640138,1.3479167496470108,1.8284940050069862,0.9998406287283295,-0.015937127167053866
Adaptive Hybrid,2,-0.1910496268542574,2.594139924381787,2.60469848505912,0.015945849418640138,1.613907830410126,2.594648027073004,1.0001958655685617,0.01958655685616595
Adaptive Hybrid,3,-0.16683219818509298,1.9853568125252588,1.993336226751277,0.015945849418640138,1.4118555969897477,1.9856828648445426,1.000164228574545,0.016422857454490014
Adaptive Hybrid,4,0.17148185479296302,2.1563909995257142,2.1642331160536923,0.015945849418640138,1.4711332761016904,2.1552061473978408,0.9994505392908178,-0.054946070918215906
Balanced,0,0.6509330945479981,2.4018603495046262,2.801555639587412,0.07463318347930908,1.6737848247571765,4.072430564394946,1.695531784449861,69.5531784449861
Balanced,1,-0.07987201423312426,1.8288304283187888,1.816921662693258,0.07463318347930908,1.347932365771094,1.8284940050069862,0.9998160445568964,-0.018395544310356726
Balanced,2,-0.1910762587530306,2.5940170992407134,2.6045870649073617,0.07463318347930908,1.6138733112940935,2.594648027073004,1.000243224237988,0.0243224237987949
Balanced,3,-0.16685361775322055,1.9853957408374712,1.9933819131864352,0.07463318347930908,1.4118717764678332,1.9856828648445426,1.00014461802308,0.014461802307996763
Balanced,4,0.1714854353373808,2.1563384661899168,2.1641823360608696,0.07463318347930908,1.471116017199483,2.1552061473978408,0.9994748881913345,-0.052511180866554596
Deterministic A-opt,0,0.6207883674831635,2.399436195158345,2.760820030409173,0.0017721343040466308,1.6615715544053986,4.072430564394946,1.6972447830087831,69.72447830087832
Deterministic A-opt,1,-0.07988659652930614,1.8286292125171455,1.81672478869701,0.0017721343040466308,1.347859335649314,1.8284940050069862,0.9999260607294066,-0.007393927059340388
Deterministic A-opt,2,-0.19105100067654554,2.5942304634470923,2.6047886436721304,0.0017721343040466308,1.6139357619410168,2.594648027073004,1.0001609585701021,0.0160958570102121
Deterministic A-opt,3,-0.16681957204992737,1.985175945110932,1.9931529552787441,0.0017721343040466308,1.4117906910299218,1.9856828648445426,1.000255352546891,0.02553525468909079
Deterministic A-opt,4,0.1714637030769508,2.1564717200237213,2.1643068042963445,0.0017721343040466308,1.4711583206087455,2.1552061473978408,0.9994131281137938,-0.058687188620620834
Hybrid Core+Tail,0,0.652893537596626,2.3989248270104238,2.801205550175757,0.028551878929138182,1.6736802413172467,4.072430564394946,1.6976065771390052,69.76065771390051
Hybrid Core+Tail,1,-0.07988991999125208,1.82880231209135,1.816896688286645,0.028551878929138182,1.3479231017705147,1.8284940050069862,0.9998314158494195,-0.016858415058051968
Hybrid Core+Tail,2,-0.1910662497838409,2.594140594094082,2.6047054999596018,0.028551878929138182,1.6139100036741831,2.594648027073004,1.0001956073545426,0.019560735454260403
Hybrid Core+Tail,3,-0.166836340176299,1.9853506150975437,1.99333147334999,0.028551878929138182,1.4118539136008337,1.9856828648445426,1.000167350665657,0.016735066565698453
Hybrid Core+Tail,4,0.17146288143577204,2.1563564729589673,2.1641924279396343,0.028551878929138182,1.4711194472032632,2.1552061473978408,0.9994665420232918,-0.053345797670822925
Random,0,0.7568048995010984,4.072430564394946,4.604459914659865,0.00012935400009155272,2.1458005300260004,4.072430564394946,1.0,0.0
Random,1,-0.08006242253806568,1.8284940050069862,1.81661905645958,0.00012935400009155272,1.3478201127968006,1.8284940050069862,1.0,0.0
Random,2,-0.19103681591976274,2.594648027073004,2.6051966118390344,0.00012935400009155272,1.6140621462134084,2.594648027073004,1.0,0.0
Random,3,-0.1667890204586408,1.9856828648445426,1.9936446135416503,0.00012935400009155272,1.4119648060563161,1.9856828648445426,1.0,0.0
Random,4,0.17137705454805896,2.1552061473978408,2.1630241807494306,0.00012935400009155272,1.4707223329879202,2.1552061473978408,1.0,0.0
